Fri Jan 31 21:42:14 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Fri Jan 31 21:42:14 JST 2020: Connect with /100.80.194.162, ID: 10
Fri Jan 31 21:48:32 JST 2020: send msg: [addAction:say:25番、喜んでくれること間違いないね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:32 JST 2020: send msg: [addAction:requestMessage:am;214832709] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:36 JST 2020: send msg: [214832709] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:52:59 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:52:59 JST 2020: send msg: [ok_long] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:52:59 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:52:59 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:52:59 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:52:59 JST 2020: send msg: [ok_long] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:52:59 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:52:59 JST 2020: send msg: [addAction:requestMessage:am;215259890] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:52:59 JST 2020: send msg: [addAction:say:長いイヤリングはやっぱりいいね] to 'sota' (/100.80.194.161, ID:22)
